"","x"
"1","PLK1"
"2","PIF1"
"3","HMMR"
"4","KIF14"
"5","ASPM"
"6","CENPF"
"7","LMOD1"
"8","HOXC4"
"9","DMBX1"
"10","CCDC80"
"11","VIM"
"12","MGAT4C"
"13","POTEF"
"14","SLC8A1"
"15","SLC44A4"
"16","RHBDL3"
"17","ELMO1"
"18","PDE1C"
"19","SLC6A14"
"20","RAB6D"
