"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000184254.17",238.299710890873,0.446405377880573,0.0316417812159092,202.919395348323,4.81700351612821e-46,6.90469284001817e-42,"ALDH1A3","220"
"ENSG00000113368.12",823.895315253837,-0.330524416821813,0.0233684671614284,193.244999693139,6.22369639155755e-44,4.4605232038293e-40,"LMNB1","4001"
"ENSG00000077152.11",441.51762619239,-0.260684066908454,0.0198874153123418,166.817130627725,3.66753756961736e-38,1.75234945076318e-34,"UBE2T","29089"
"ENSG00000175063.17",404.151669646018,-0.387298776535444,0.0316298985378009,154.590744841851,1.72039956933616e-35,6.16505185671613e-32,"UBE2C","11065"
"ENSG00000137807.15",338.499187365002,-0.465363516341258,0.0368494025567952,150.796742685635,1.16095053942682e-34,3.3282130064288e-31,"KIF23","9493"
"ENSG00000145386.10",490.515474575087,-0.456825150162882,0.0374496870922766,147.25544772838,6.90064041670837e-34,1.64856299555163e-30,"CCNA2","890"
"ENSG00000165272.16",889.556763680194,0.376968024073438,0.0333631664803957,125.353656312806,4.25865946723473e-29,8.72051782904894e-26,"AQP3","360"
"ENSG00000115163.15",102.098764437086,-0.420770355926438,0.0369743148007188,124.220955879432,7.53661555684378e-29,1.35037309239748e-25,"CENPA","1058"
"ENSG00000164104.12",1194.26893573395,-0.390657330654581,0.0346231548852569,121.994329066278,2.31498658888476e-28,3.47239851279931e-25,"HMGB2","3148"
"ENSG00000112029.10",87.4262588563901,-0.359545703989959,0.0328559539493879,121.904271050314,2.42249093958373e-28,3.47239851279931e-25,"FBXO5","26271"
"ENSG00000166851.15",247.951486160448,-0.566462875806278,0.0523786993431466,121.448378606035,3.04830693076541e-28,3.97222104959922e-25,"PLK1","5347"
"ENSG00000115107.20",548.115601641896,0.249272845416796,0.0228603283111634,118.003473572891,1.73084627754129e-27,2.04377964021463e-24,"STEAP3","55240"
"ENSG00000215784.6",86.6621602039623,-0.433546158683517,0.040215077358962,117.86759612482,1.85357439115322e-27,2.04377964021463e-24,"FAM72D","728833"
"ENSG00000117650.13",92.4142125970802,-0.400744863026114,0.0373584324444318,116.33042871038,4.02351386519997e-27,4.11950341026974e-24,"NEK2","4751"
"ENSG00000120802.13",1404.37045167141,-0.226526614965367,0.0211560546443222,113.3044344311,1.85062916306709e-26,1.76846122822691e-23,"TMPO","7112"
"ENSG00000182481.9",2966.84249420887,-0.260579358730001,0.0255330997727651,111.609668488185,4.35060768436634e-26,3.89760065923169e-23,"KPNA2","3838"
"ENSG00000077684.16",97.5430716162254,-0.3249824457248,0.0318105390960401,109.20057586327,1.46667533243751e-25,1.23666613030349e-22,"JADE1","79960"
"ENSG00000080986.13",143.713146694732,-0.41963806813692,0.039300747727132,107.208785655253,4.00656620763285e-25,3.19056222334496e-22,"NDC80","10403"
"ENSG00000143476.18",129.738292291557,-0.387729090573653,0.0381456718374198,104.968275661659,1.24107032956149e-24,9.36289584417602e-22,"DTL","51514"
"ENSG00000165244.7",146.940867794622,-0.410394429496568,0.0405641798697502,104.238150934443,1.79402694088863e-24,1.28577910853488e-21,"ZNF367","195828"
"ENSG00000112378.12",2778.66842625657,0.149854271153692,0.0146890862847304,103.975301317745,2.04853894850395e-24,1.39827415656455e-21,"PERP","64065"
"ENSG00000134057.15",772.143700241813,-0.330075773565107,0.0334711025742741,102.557477190935,4.19031932771039e-24,2.73018351106367e-21,"CCNB1","891"
"ENSG00000129195.16",85.4854647980801,-0.416637652821618,0.0425071276605935,101.255080051456,8.08690508741052e-24,5.03989989230184e-21,"PIMREG","54478"
"ENSG00000140451.13",18.8041134919207,-0.862661670550216,0.0960500489995984,101.16266056916,8.47316245405257e-24,5.0605962756829e-21,"PIF1","80119"
"ENSG00000096060.14",256.457554128877,-0.161064416678583,0.0161637284468885,100.94960552979,9.43537168981999e-24,5.40986471207519e-21,"FKBP5","2289"
"ENSG00000142945.13",351.783501866937,-0.338234728110029,0.0329833842647533,99.2821696001467,2.18970656147783e-23,1.20720207123935e-20,"KIF2C","11004"
"ENSG00000128050.8",2382.20929205144,-0.186826948875591,0.0187595225293805,97.9497942411839,4.29125898798066e-23,2.27818171606351e-20,"PAICS","10606"
"ENSG00000130066.16",610.857259649881,0.204832291216903,0.0204578011928917,96.5856224375755,8.54666663088549e-23,4.37528283882545e-20,"SAT1","6303"
"ENSG00000137804.14",422.718745401551,-0.398862651475941,0.0404581329560191,96.465294879021,9.08219697166494e-23,4.46400410942737e-20,"NUSAP1","51203"
"ENSG00000134533.6",274.836345943606,-0.203028184272323,0.0203982359240624,96.4092781370489,9.34282986485426e-23,4.46400410942737e-20,"RERG","85004"
"ENSG00000156970.12",236.622343332055,-0.4635447849862,0.045851844381771,95.4335766186131,1.52937619099109e-22,7.07163816827945e-20,"BUB1B","701"
"ENSG00000116016.14",342.300110525192,0.283773617312828,0.0290577385317623,93.9141840314733,3.29504405945851e-22,1.44125383076828e-19,"EPAS1","2034"
"ENSG00000155252.13",546.187418925473,0.23335791685825,0.0233358387338161,93.9003936396922,3.3180812345021e-22,1.44125383076828e-19,"PI4K2A","55361"
"ENSG00000111665.11",192.382567002263,-0.394283350435788,0.0405894622135448,91.9945945427568,8.691356197748e-22,3.66417352172117e-19,"CDCA3","83461"
"ENSG00000117399.14",312.086629068547,-0.393738630676186,0.0418769662182301,91.4187259302647,1.16270935487817e-21,4.76179311223535e-19,"CDC20","991"
"ENSG00000146410.12",94.4184773190791,-0.3656412472637,0.0385769901635498,91.1931574833223,1.30310086695384e-21,5.18851328525454e-19,"MTFR2","113115"
"ENSG00000152229.18",223.029834529929,0.333527333059005,0.0336040982467976,90.1579332898181,2.19887920973088e-21,8.51857691683309e-19,"PSTPIP2","9050"
"ENSG00000101361.17",617.563410351515,-0.134166780597779,0.0142337248705858,89.9738563746164,2.41327950610913e-21,9.10314432646532e-19,"NOP56","10528"
"ENSG00000196562.14",5412.80198821803,0.257282818522098,0.0259780610228369,88.9582426803023,4.03234932496304e-21,1.48204346728257e-18,"SULF2","55959"
"ENSG00000144354.14",154.224616704467,-0.37690777491328,0.0423530383014061,87.7284177165602,7.50877925346095e-21,2.69077104547773e-18,"CDCA7","83879"
"ENSG00000140534.14",247.134293269472,-0.347226030041721,0.0361848523320966,87.4802875361423,8.51239694234136e-21,2.97601701881759e-18,"TICRR","90381"
"ENSG00000115129.14",769.058647211742,0.560622193764964,0.0541603932243253,87.0416266326321,1.06260970494788e-20,3.62653512160069e-18,"TP53I3","9540"
"ENSG00000114480.13",295.35388008209,0.26443614302752,0.0280937364545238,83.9229028670546,5.14450830720294e-20,1.71491586221969e-17,"GBE1","2632"
"ENSG00000284946.1",260.022382111701,-0.316300607602581,0.034132293070394,81.7398804834388,1.5522936383598e-19,5.05694932096577e-17,NA,NA
"ENSG00000075218.19",82.3058036069472,-0.348964596186123,0.0382301881878886,79.3733738337475,5.14143631189434e-19,1.63771884654874e-16,"GTSE1","51512"
"ENSG00000109674.4",75.3349092315356,-0.356482697958501,0.0399673389463627,79.2913973213896,5.35925582447051e-19,1.66999071712957e-16,"NEIL3","55247"
"ENSG00000087586.17",558.670635087249,-0.274687859762374,0.0301489666514006,79.092215638344,5.92774360855415e-19,1.80783567840458e-16,"AURKA","6790"
"ENSG00000164904.18",849.568125161007,0.169177924914563,0.0187848739255931,78.9741195358519,6.29289366299367e-19,1.87921537011148e-16,"ALDH7A1","501"
"ENSG00000164109.14",430.517655239585,-0.40399176441095,0.0442119973958697,78.7192138131635,7.15958281631807e-19,2.09439714467558e-16,"MAD2L1","4085"
"ENSG00000076382.17",427.076253860595,-0.219332865204284,0.0247876069455555,78.618951142316,7.53233460716793e-19,2.1593696851829e-16,"SPAG5","10615"
"ENSG00000164045.12",84.6219080541143,-0.394472709226117,0.0451801474463305,78.3612584863813,8.58188457541074e-19,2.41201438243015e-16,"CDC25A","993"
"ENSG00000124098.10",676.592201371069,0.160312913092101,0.0179761628897387,77.7885224533662,1.14684637065025e-18,3.16132613017321e-16,"FAM210B","116151"
"ENSG00000134222.16",121.575791819776,-0.278638152499005,0.0313174851008206,77.0735027321275,1.64712395025486e-18,4.45469334017985e-16,"PSRC1","84722"
"ENSG00000187210.14",183.894532787884,-0.18714531203495,0.0215041431240266,76.5671090617325,2.12855386148784e-18,5.65012797232716e-16,"GCNT1","2650"
"ENSG00000157456.8",366.203549735798,-0.278526975700316,0.0317777526499253,76.3371577271496,2.3914153303416e-18,6.23246315365755e-16,"CCNB2","9133"
"ENSG00000178947.9",138.939603399509,0.388436953497115,0.0424848988777971,75.6340566514892,3.41421648229683e-18,8.7391748316505e-16,"SMIM10L2A","399668"
"ENSG00000276043.5",281.073871792692,-0.311810210199376,0.0371545610297021,74.4009596892931,6.37580030575318e-18,1.60334599267835e-15,"UHRF1","29128"
"ENSG00000162909.18",627.552951999434,0.193298663081942,0.0225186675250791,74.193867418649,7.08099343514501e-18,1.74998206723049e-15,"CAPN2","824"
"ENSG00000104369.5",131.964922185556,-0.260004668999413,0.030975629192169,73.9511445817297,8.00745137663371e-18,1.92194804067672e-15,"JPH1","56704"
"ENSG00000124762.13",8333.84825826163,0.38238293525786,0.0432884018724511,73.9419123222821,8.04498970563718e-18,1.92194804067672e-15,"CDKN1A","1026"
"ENSG00000124145.6",1349.49586460765,0.127365410816453,0.0147467817125737,72.9615779687368,1.32198521278085e-17,3.10644853114766e-15,"SDC4","6385"
"ENSG00000119397.16",44.0353308292416,-0.475956252084287,0.0562789048355825,71.9476643134735,2.20981181507598e-17,5.10894234795147e-15,"CNTRL","11064"
"ENSG00000196743.9",298.919668743692,0.310157234293221,0.0367503654380948,69.634396889101,7.13811767038526e-17,1.62409172519527e-14,"GM2A","2760"
"ENSG00000120334.15",94.709369992941,-0.234117531181192,0.0277587447864915,69.5712083419103,7.37049679702709e-17,1.65076095450916e-14,"CENPL","91687"
"ENSG00000059728.11",373.453274482822,0.214421692940078,0.0259093607705034,69.4187427276833,7.96283715148009e-17,1.75598934968178e-14,"MXD1","4084"
"ENSG00000120539.14",280.100005350192,-0.218674650312234,0.0266353578786143,68.1018852154277,1.55262153309067e-16,3.37201167504874e-14,"MASTL","84930"
"ENSG00000143228.13",103.299967759322,-0.352463868014048,0.0434608014347137,66.9161758720267,2.83300729398941e-16,6.06094426149913e-14,"NUF2","83540"
"ENSG00000136003.15",951.656566071611,0.168226759350529,0.020065226358483,65.7226298064076,5.19064314489222e-16,1.09415704174831e-13,"ISCU","23479"
"ENSG00000090889.12",302.347949066801,-0.335493035415139,0.0412791293184049,64.9877157481915,7.53664374094888e-16,1.56565581714147e-13,"KIF4A","24137"
"ENSG00000205208.5",117.846881148858,-0.206703853274809,0.0258132335999812,64.7946366986306,8.31250929137626e-16,1.70216440260839e-13,"C4orf46","201725"
"ENSG00000166619.15",494.099716512596,0.158357596831628,0.019755542401284,63.6092917549308,1.51711891782476e-15,3.06287078423944e-13,"BLCAP","10904"
"ENSG00000089685.15",385.941819940888,-0.341814648540745,0.0418937966349865,62.8971268045642,2.17789699672359e-15,4.33582993764389e-13,"BIRC5","332"
"ENSG00000076003.5",650.410048287907,-0.193357980419423,0.0246524022346026,62.6761987507292,2.43642323540504e-15,4.78406721319122e-13,"MCM6","4175"
"ENSG00000088325.16",1356.90251507917,-0.262496195455673,0.0330754421255797,62.5863796931428,2.55010974196776e-15,4.93963149207647e-13,"TPX2","22974"
"ENSG00000072571.20",179.493991743365,-0.579644252476823,0.0760397379942632,61.9816314233656,3.46676075270901e-15,6.62567315057746e-13,"HMMR","3161"
"ENSG00000138180.16",313.336202803317,-0.397653855330659,0.0505834475057418,61.940753237118,3.53947971110156e-15,6.67564502354338e-13,"CEP55","55165"
"ENSG00000143815.15",216.384453798625,-0.184563830822602,0.0238337055963165,61.8590124096285,3.68949883971424e-15,6.86821771019011e-13,"LBR","3930"
"ENSG00000152253.9",156.922779168159,-0.259945403641541,0.032700410726395,61.7590943344246,3.88154663872754e-15,7.13308839993854e-13,"SPC25","57405"
"ENSG00000183527.12",317.629541420069,-0.163201236855672,0.0207973240395832,60.2434782691072,8.3820096658224e-15,1.52085729809998e-12,"PSMG1","8624"
"ENSG00000147044.21",636.871925508024,0.208980689007131,0.026695376333469,60.1864726835439,8.62831546244581e-15,1.54597842298373e-12,"CASK","8573"
"ENSG00000051180.17",134.722845693777,-0.234298676775489,0.0300092993617979,60.0701453354841,9.15362985106029e-15,1.61985346030985e-12,"RAD51","5888"
"ENSG00000213160.10",58.2354235193269,-0.345136675181064,0.0456719168301438,59.9620019425416,9.67064846198602e-15,1.69047652505009e-12,"KLHL23","151230"
"ENSG00000100526.20",325.869626199276,-0.319932476426301,0.0428734858181515,59.8765542168355,1.00997455159281e-14,1.74421388223269e-12,"CDKN3","1033"
"ENSG00000130826.18",710.179521863294,-0.17752273311172,0.0237697229981844,58.8470433363241,1.70417660379717e-14,2.9080556474796e-12,"DKC1","1736"
"ENSG00000166949.16",689.848439763794,0.32943195077258,0.0418303520499096,58.415472634772,2.12215441573873e-14,3.57870134061163e-12,"SMAD3","4088"
"ENSG00000138821.13",291.710612265219,-0.280160561834846,0.0360485411035563,57.2240036592365,3.88895684654945e-14,6.48189621377206e-12,"SLC39A8","64116"
"ENSG00000169679.15",324.155089189849,-0.389502644377774,0.0512833323551237,56.9067593688759,4.56972455319935e-14,7.52901514316775e-12,"BUB1","699"
"ENSG00000100714.17",2219.37961136966,-0.168011177920354,0.0218473079935815,55.6845221144923,8.50855555930522e-14,1.38592767485319e-11,"MTHFD1","4522"
"ENSG00000143578.16",268.244312834725,-0.154969943784697,0.02089823739508,55.2488147240906,1.06198324900796e-13,1.71038965070563e-11,"CREB3L4","148327"
"ENSG00000006634.8",448.239521012888,-0.28579845718502,0.0393340243324688,54.8824124239144,1.27960974580957e-13,2.03799178849271e-11,"DBF4","10926"
"ENSG00000183943.6",521.263716473144,0.194033063416774,0.0260929370770781,54.6630688118458,1.43069744589766e-13,2.25358430653814e-11,"PRKX","5613"
"ENSG00000121152.10",228.295359821561,-0.355394858726909,0.0472070184343552,54.5000639161207,1.55442769724353e-13,2.40374209544657e-11,"NCAPH","23397"
"ENSG00000149485.19",1281.92231008007,0.111846533772821,0.015262077386297,54.4935801695894,1.55956477519555e-13,2.40374209544657e-11,"FADS1","3992"
"ENSG00000149573.9",274.583666212395,0.179228589553156,0.0240394617125263,53.9922492784752,2.01282039468573e-13,3.06933697206651e-11,"MPZL2","10205"
"ENSG00000156802.13",1367.1022517503,-0.32918081624363,0.0446363764813617,53.5106122477872,2.57199708079846e-13,3.88073749012264e-11,"ATAD2","29028"
"ENSG00000128944.13",185.975693286322,-0.297419224038692,0.0397137051618551,53.4742256345768,2.62007886958179e-13,3.91210526214432e-11,"KNSTRN","90417"
"ENSG00000131016.17",66.6406816349621,-0.248376923719302,0.0348958294714175,53.4108257066208,2.70601528364434e-13,3.99876526554205e-11,"AKAP12","9590"
"ENSG00000172831.13",393.638707029773,0.271338615265221,0.0354876615140226,53.1520940388596,3.08696185769883e-13,4.51515421104643e-11,"CES2","8824"
"ENSG00000203685.10",60.2214181308489,0.466960718719627,0.0617998137807025,53.0372866509645,3.27276402443272e-13,4.73856560870895e-11,"STUM","375057"
"ENSG00000143641.10",367.701991183581,0.155883867358369,0.0211495483996281,52.8360913581238,3.62577138059674e-13,5.19718069694736e-11,"GALNT2","2590"
"ENSG00000167741.10",114.171616985501,0.4550938355789,0.0588135671563218,52.7224739758395,3.84169898443709e-13,5.45216962801201e-11,"GGT6","124975"
"ENSG00000170540.15",2019.45591642087,-0.214726019831517,0.030824356901906,52.6812471584224,3.92319216646681e-13,5.51323887393483e-11,"ARL6IP1","23204"
"ENSG00000184661.14",165.718682556821,-0.32116208926281,0.0432179315407097,52.2592836566404,4.86354689456711e-13,6.76835739676941e-11,"CDCA2","157313"
"ENSG00000110328.6",59.6519261226236,0.256039195559861,0.0353181147753458,52.2137888873377,4.97753888865222e-13,6.86038869518663e-11,"GALNT18","374378"
"ENSG00000006453.14",547.665246739675,0.155112980076148,0.0215838523420144,51.7303693657371,6.36702474673614e-13,8.69189835425865e-11,"BAIAP2L1","55971"
"ENSG00000134690.11",270.131629081832,-0.276607033289406,0.0372540491539608,51.3796328921694,7.61242204852532e-13,1.02940054380719e-10,"CDCA8","55143"
"ENSG00000132661.4",143.342978425929,-0.151039484514361,0.021246116022658,51.2002639864708,8.34074111669759e-13,1.11734750623125e-10,"NXT1","29107"
"ENSG00000196975.16",681.492092340593,0.133713987152007,0.018587544656399,51.0246513593877,9.1213228565891e-13,1.21060223913285e-10,"ANXA4","307"
"ENSG00000092853.14",197.109698052445,-0.261504733213438,0.0367014571861552,50.9451657263745,9.49826560788215e-13,1.24906549746223e-10,"CLSPN","63967"
"ENSG00000171552.13",1178.91934040469,0.243842060356348,0.0350538998387647,50.7228006053821,1.06376576899611e-12,1.38618350298094e-10,"BCL2L1","598"
"ENSG00000106617.14",171.715186649913,0.196900359624774,0.0271580903384743,50.6082115337791,1.12772217253004e-12,1.45628555144555e-10,"PRKAG2","51422"
"ENSG00000126787.13",464.987026500327,-0.436848626002046,0.0619230547922003,50.4049493439085,1.25078378523588e-12,1.60077989085456e-10,"DLGAP5","9787"
"ENSG00000106462.11",461.730894689863,-0.0985321838070674,0.01385769397388,50.245159520788,1.3568899367569e-12,1.72120888083836e-10,"EZH2","2146"
"ENSG00000138376.11",149.339335765005,-0.262780062464268,0.0374036754182578,50.1956927497901,1.39152914688702e-12,1.74966480627004e-10,"BARD1","580"
"ENSG00000177076.6",216.517244876681,0.238590133744732,0.0333816709919845,50.0228385092914,1.51966864615662e-12,1.89416785860948e-10,"ACER2","340485"
"ENSG00000213551.7",532.705212065316,-0.153612634282708,0.0212387034752906,49.8537262781575,1.65645499353852e-12,2.04686429977424e-10,"DNAJC9","23234"
"ENSG00000075702.18",102.943552670342,-0.298210402851335,0.0419938653030463,49.7439188594667,1.75180310389759e-12,2.14618339241607e-10,"WDR62","284403"
"ENSG00000148773.14",1198.33432820629,-0.390650696986711,0.0546656733383871,49.6781514737859,1.81152044847862e-12,2.2005367888553e-10,"MKI67","4288"
"ENSG00000060138.13",924.719063989017,0.115580527215128,0.016335527089518,49.4834310854744,2.00054202351525e-12,2.40972851807291e-10,"YBX3","8531"
"ENSG00000128567.17",551.271156255576,0.193034986671047,0.0271795177628616,49.4431265614725,2.04206758769345e-12,2.43924973349982e-10,"PODXL","5420"
"ENSG00000111666.11",282.310906340657,-0.193160148219674,0.0271460478123122,49.3190514292723,2.17539510680871e-12,2.57703417033025e-10,"CHPT1","56994"
"ENSG00000168078.10",368.37014439209,-0.372663507635008,0.0509822202360904,49.1349853398883,2.38940336844634e-12,2.80735310518933e-10,"PBK","55872"
"ENSG00000181472.5",367.902737324695,-0.17247074337877,0.0252359398513788,49.0875978182082,2.4478302225586e-12,2.85261775692317e-10,"ZBTB2","57621"
"ENSG00000135862.6",1793.68870061996,0.148665091869795,0.0207468273408825,48.9678008707327,2.60199070798546e-12,3.00781732324707e-10,"LAMC1","3915"
"ENSG00000138160.6",401.988069455552,-0.368144859927936,0.0527202718608346,48.7802144252166,2.86313619232881e-12,3.28321553446729e-10,"KIF11","3832"
"ENSG00000184205.14",307.18192107214,0.212207876219503,0.0293518735047074,48.5731545449124,3.18195207435956e-12,3.61984928840238e-10,"TSPYL2","64061"
"ENSG00000198901.14",1214.81748187728,-0.326197591088195,0.0444337405591928,48.1840264938102,3.88036540795234e-12,4.37961872106999e-10,"PRC1","9055"
"ENSG00000164105.4",54.0536057107663,-0.236366537515027,0.0341852714682351,48.0598735020239,4.13400654565538e-12,4.62944139261126e-10,"SAP30","8819"
"ENSG00000070731.11",562.187916352082,0.2213199459462,0.0309553499397083,47.9780326070713,4.31021328905975e-12,4.78934862677384e-10,"ST6GALNAC2","10610"
"ENSG00000164649.20",173.730024817954,-0.256630379875227,0.0372530776621442,47.8862302067149,4.5168276051197e-12,4.98032360706044e-10,"CDCA7L","55536"
"ENSG00000116679.16",775.815598594997,-0.154858574150405,0.0231577989444043,47.5504778269564,5.36056911362328e-12,5.84502658864082e-10,"IVNS1ABP","10625"
"ENSG00000188916.9",27.114289171318,0.583426779361795,0.083142649365908,47.5424335713044,5.38261134156962e-12,5.84502658864082e-10,"INSYN2A","642938"
"ENSG00000265763.4",155.595461594914,0.267197366961098,0.0386568491193351,47.5093898918334,5.47411064457445e-12,5.87437574002829e-10,"ZNF488","118738"
"ENSG00000029534.20",152.657704357543,0.50737755246835,0.0665037877659105,47.5031358169378,5.49160282659266e-12,5.87437574002829e-10,"ANK1","286"
"ENSG00000147509.14",35.6224946350152,0.358178423281436,0.0512407572427187,47.3964129228323,5.79887042151972e-12,6.12509992861128e-10,"RGS20","8601"
"ENSG00000135549.15",949.359182992006,-0.204275263173642,0.028531803283095,47.3921643643957,5.81145242284871e-12,6.12509992861128e-10,"PKIB","5570"
"ENSG00000206075.14",520.317373427175,0.54664256401769,0.0692511969004186,47.3571458572992,5.91620502099012e-12,6.18999144312937e-10,"SERPINB5","5268"
"ENSG00000145569.6",82.0195266489637,0.238279923684545,0.0350952016797046,47.1379596704239,6.61618347456343e-12,6.87220100901393e-10,"OTULINL","54491"
"ENSG00000162490.7",47.6610225944157,0.623944569249332,0.0836025799289556,46.5997066353876,8.70732866088617e-12,8.97919777159297e-10,"DRAXIN","374946"
"ENSG00000091527.15",1133.12959499838,-0.111402119474039,0.0164831980418166,46.3402272812546,9.94020539871993e-12,1.01773502989465e-09,"CDV3","55573"
"ENSG00000178999.13",233.55631623609,-0.366093559873066,0.0521045008787036,46.1380542670933,1.10206927345341e-11,1.12035893373625e-09,"AURKB","9212"
"ENSG00000198133.8",225.851595884758,0.20634081605707,0.0294083229363868,45.9109719831632,1.23750910290304e-11,1.24918700570509e-09,"TMEM229B","161145"
"ENSG00000135476.12",266.501636250841,-0.340791608838618,0.0474392022631061,45.8186515657976,1.29722513966502e-11,1.3003094511859e-09,"ESPL1","9700"
"ENSG00000139354.11",101.554512404327,-0.409680042283115,0.0606418591376436,45.6703931824476,1.39921732047704e-11,1.39280424109152e-09,"GAS2L3","283431"
"ENSG00000165304.8",445.908996564189,-0.237884707790698,0.0337583816120478,45.5324862523054,1.50128071125627e-11,1.47631053115475e-09,"MELK","9833"
"ENSG00000162670.11",332.929827170344,-0.215314161694719,0.0317502381963588,45.5293234931488,1.50370683374211e-11,1.47631053115475e-09,"BRINP3","339479"
"ENSG00000068878.15",619.368779826497,0.142500326938445,0.0209841014597944,45.3641815121421,1.63599109865165e-11,1.59525825905257e-09,"PSME4","23198"
"ENSG00000112118.20",931.508176313806,-0.193523557061707,0.0276980408580428,45.2676790187434,1.71862114039933e-11,1.66450779908675e-09,"MCM3","4172"
"ENSG00000164300.17",502.340892335731,0.149789140157139,0.0220848022304896,44.8626839306817,2.11347392548463e-11,2.03319028509374e-09,"SERINC5","256987"
"ENSG00000147394.18",392.132769588334,0.193991362452237,0.0293573959726358,44.3822545570919,2.70124571523453e-11,2.58131040547812e-09,"ZNF185","7739"
"ENSG00000155066.16",576.987087483034,0.228932347152299,0.0337152111473609,44.1305667069561,3.0718638642357e-11,2.91603288940096e-09,"PROM2","150696"
"ENSG00000101412.13",152.151651167464,-0.294471019165462,0.0430404244615838,43.906188670572,3.4449787357231e-11,3.24870560512203e-09,"E2F1","1869"
"ENSG00000171791.13",56.3279817854797,-0.257069411684028,0.0394123880509436,43.8098415936703,3.61880728939207e-11,3.39032573112065e-09,"BCL2","596"
"ENSG00000161509.14",24.1204717253314,0.419828359582318,0.0630044220428675,43.7375483046957,3.75497969869803e-11,3.48934388872194e-09,"GRIN2C","2905"
"ENSG00000182749.5",69.98289470086,0.211201291058291,0.0317248941904297,43.7280827627916,3.77318475479211e-11,3.48934388872194e-09,"PAQR7","164091"
"ENSG00000115271.11",292.043066353474,-0.175897860831919,0.0267851546579075,43.5611109081261,4.10924443015681e-11,3.77576343986331e-09,"GCA","25801"
"ENSG00000186212.4",64.5624944943465,0.212132546414508,0.0321990659704348,43.5297655609467,4.17559500729382e-11,3.81229164551271e-09,"SOWAHB","345079"
"ENSG00000155380.11",210.66515750513,-0.19396098054679,0.0297028067335834,43.379907298726,4.50793322701807e-11,4.08966549848589e-09,"SLC16A1","6566"
"ENSG00000100479.13",167.5351556935,-0.258326881077362,0.0380582177173375,43.3368254408049,4.60828549739976e-11,4.15441285029737e-09,"POLE2","5427"
"ENSG00000132386.11",119.459363514361,0.318785313015487,0.0473450872005742,43.2944314486386,4.7092180794025e-11,4.20495580867302e-09,"SERPINF1","5176"
"ENSG00000137135.18",73.4589422013879,-0.240470756413811,0.0361760389526796,43.2886666606004,4.72311285605568e-11,4.20495580867302e-09,"ARHGEF39","84904"
"ENSG00000156103.16",110.302960630219,-0.301413001628749,0.0454532889257384,43.2765888840948,4.75235692064343e-11,4.20495580867302e-09,"MMP16","4325"
"ENSG00000117868.17",1374.26099739867,0.0865303092213838,0.0131974757981322,43.1679883059598,5.02359053798499e-11,4.41767771604153e-09,"ESYT2","57488"
"ENSG00000188404.10",44.0074915538474,-0.231208547521829,0.0351743914537994,43.0605591353648,5.30714134164511e-11,4.63857097506957e-09,"SELL","6402"
"ENSG00000115884.11",1380.7772075183,0.176811171013696,0.0264717018250831,42.959680398141,5.58797152833022e-11,4.85442326588396e-09,"SDC1","6382"
"ENSG00000189007.16",56.8679887545412,-0.179552540235358,0.0278274316928218,42.8585844387393,5.88433027277449e-11,5.08108374276804e-09,"ADAT2","134637"
"ENSG00000172667.11",576.571358480238,0.231626418448827,0.0352002809851676,42.6589580352324,6.51653135091299e-11,5.59329104095729e-09,"ZMAT3","64393"
"ENSG00000111344.11",239.459951053253,0.321539296492901,0.0469022272786179,42.6262517850612,6.62640663925912e-11,5.65374480756787e-09,"RASAL1","8437"
"ENSG00000145555.15",430.744082576188,0.155092107397112,0.0236877969111804,42.487590899266,7.11320834375496e-11,6.0331791952298e-09,"MYO10","4651"
"ENSG00000122644.13",69.3080426366827,-0.281703166365513,0.0426025517298775,42.1918985964826,8.27420781754515e-11,6.9766173445113e-09,"ARL4A","10124"
"ENSG00000131778.19",476.264743989095,-0.0946601955558632,0.0145531287842348,42.1537456477702,8.43721876968627e-11,7.07246162834404e-09,"CHD1L","9557"
"ENSG00000102054.17",1220.35608163397,-0.123450095804562,0.0189078509936081,41.9967042316499,9.1427383836015e-11,7.61930302270604e-09,"RBBP7","5931"
"ENSG00000139433.10",512.896795000417,0.143204153931748,0.0218774660114262,41.7895174301065,1.01646920197939e-10,8.42200551512862e-09,"GLTP","51228"
"ENSG00000146648.18",73.0421733140278,0.292717620083336,0.0445981429824651,41.6860624039117,1.07170260911054e-10,8.82861218332783e-09,"EGFR","1956"
"ENSG00000154127.10",104.633743822268,0.371584982707186,0.053678111802146,41.6477129004464,1.09293170856288e-10,8.95204749173731e-09,"UBASH3B","84959"
"ENSG00000090097.21",91.417675161372,0.317197257122599,0.0483768028859092,41.543565178357,1.15273281244037e-10,9.38822280313654e-09,"PCBP4","57060"
"ENSG00000079616.12",684.642477662426,-0.154061438247129,0.0235334636679654,41.2388269562734,1.34719718272247e-10,1.09100137949965e-08,"KIF22","3835"
"ENSG00000168785.8",36.8261889944853,0.272962502426156,0.0423658413765745,41.2171453258422,1.36222392146195e-10,1.09697290394582e-08,"TSPAN5","10098"
"ENSG00000162989.5",54.0710778047974,-0.242294110042552,0.0374031306152989,41.1288567573841,1.42516609547652e-10,1.14124753142796e-08,"KCNJ3","3760"
"ENSG00000135423.13",106.428442380259,0.375370781644842,0.054215339316095,41.0318464874738,1.49768820233258e-10,1.19265903845751e-08,"GLS2","27165"
