"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000198445.4",0.118522096201526,-0.10268783508794,0.903648852334542,0.0413200637271913,0.838921367170933,NA,"CCT8L2","150160"
"ENSG00000254673.1",2.69202355964516,0.0920751040003582,0.749218214266939,0.041261193184198,0.839034585370206,0.923498559985912,NA,NA
"ENSG00000169976.7",516.810019931241,-0.0096091636894009,0.0461019214150102,0.0410986699607179,0.839347582814781,0.923772132376157,"SF3B5","83443"
"ENSG00000198821.10",0.0889061620069335,0.140973926065946,1.02886730774669,0.0409181260560345,0.839696041990236,NA,"CD247","919"
"ENSG00000278685.4",0.0308100994171769,0.144701187503359,1.02929361834424,0.0408788000168876,0.839772049377451,NA,"IQCA1L","392843"
"ENSG00000156076.10",0.131611990975747,-0.0867029977591793,1.02914804764514,0.0408378811607406,0.839851175689893,NA,"WIF1","11197"
"ENSG00000168329.13",0.307000692154796,-0.0569340074271221,0.762722258712729,0.0408100526665507,0.839905012257832,NA,"CX3CR1","1524"
"ENSG00000178233.18",0.0983618273318023,0.128682663636221,1.02925704994932,0.0408011963916159,0.839922149475521,NA,"TMEM151B","441151"
"ENSG00000178445.9",51.5608641843275,0.0125535018894162,0.0647725276545207,0.0407528877463506,0.840015662577225,0.92443643050917,"GLDC","2731"
"ENSG00000049618.23",181.298943322344,0.00941905159016083,0.0463351243165413,0.0407067602276356,0.840105007430897,0.924463778329071,"ARID1B","57492"
"ENSG00000160716.6",0.170531667765806,-0.0453859451990912,0.614727762107178,0.040666225359054,0.84018356332244,NA,"CHRNB2","1141"
"ENSG00000177807.10",0.0807563478382698,0.122659720413482,1.02929361834424,0.0405359182895246,0.840436372611594,NA,"KCNJ10","3766"
"ENSG00000170915.9",16.5391156399119,-0.0115517665882831,0.056622594695695,0.0405354137931226,0.840437352208206,0.924758502076643,"PAQR8","85315"
"ENSG00000126458.4",75.4125359944539,0.00967150063515432,0.0477463593527839,0.0404554533450323,0.840592694189901,0.924858434028097,"RRAS","6237"
"ENSG00000156928.5",85.138382063176,0.00576706627484639,0.0290324312417657,0.0402865668362438,0.840921321768341,0.925148992726027,"MALSU1","115416"
"ENSG00000166927.13",1.44214447274064,-0.0426427949889168,0.219882445594336,0.0401978227639006,0.841094291525848,0.925268271276402,"MS4A7","58475"
"ENSG00000111404.6",0.550810599807762,-0.0274900398593785,0.29860087930268,0.0399050829249887,0.841666278897311,NA,"RERGL","79785"
"ENSG00000130287.14",0.0605719622249791,0.13694121984194,1.02929361834424,0.039855763889463,0.841762858376249,NA,"NCAN","1463"
"ENSG00000166960.16",0.203302799412425,0.168060555524705,0.69838996880992,0.0398547262780298,0.841764890956099,NA,"CCDC178","374864"
"ENSG00000197779.13",60.452222577574,-0.0165066803743468,0.0809611118537554,0.0397688809499073,0.841933149003892,0.925956837831932,"ZNF81","347344"
"ENSG00000104879.5",0.131399674582308,-0.0837828604525963,1.02917535886403,0.0397121774851499,0.84204439216497,NA,"CKM","1158"
"ENSG00000099904.15",63.9909693191182,0.0157127431040005,0.0770754471795407,0.0396979331985108,0.84207235016017,0.925956837831932,"ZDHHC8","29801"
"ENSG00000183617.5",76.4322145729273,0.00883058984619346,0.0433276685813026,0.0396779168442549,0.842111646104319,0.925956837831932,"MRPL54","116541"
"ENSG00000163975.12",18.4431994782409,0.0106636526392107,0.0529647404566732,0.0396614462802347,0.842143988711097,0.925956837831932,"MELTF","4241"
"ENSG00000019144.19",66.0062337248284,-0.0140457668347524,0.0634930731892348,0.0396427044012171,0.842180799904638,0.925956837831932,"PHLDB1","23187"
"ENSG00000121989.15",49.4812332822671,-0.00871138207494321,0.044294291599322,0.0396391970973013,0.842187689655406,0.925956837831932,"ACVR2A","92"
"ENSG00000107874.11",168.705018430575,0.00616650802358498,0.0305111472129158,0.0396288487183938,0.84220801986669,0.925956837831932,"CUEDC2","79004"
"ENSG00000147437.10",8.2540175675456,0.0176796236474724,0.0862761119309169,0.0395518607970473,0.84235935545852,0.925956837831932,"GNRH1","2796"
"ENSG00000285839.1",0.319783347991891,-2.05310982958027,0.947306820575037,0.0395265121042527,0.84240921702861,NA,NA,NA
"ENSG00000121207.12",1.21299117940316,0.0466623850723613,0.220259264207871,0.0395206595338209,0.842420731555745,0.925956837831932,"LRAT","9227"
"ENSG00000184988.8",21.3411448878786,-0.010642336568326,0.0521667217224843,0.0395190606606093,0.842423877382228,0.925956837831932,"TMEM106A","113277"
"ENSG00000100519.12",1483.23953697998,-0.00704034632480304,0.0352003849950901,0.039515541103583,0.84243080243939,0.925956837831932,"PSMC6","5706"
"ENSG00000153956.16",0.401091376837543,-0.234168659410347,0.580221643913634,0.039498107037943,0.842465110319857,NA,"CACNA2D1","781"
"ENSG00000186777.12",0.334080837291963,-0.0254464329619172,0.422952370973138,0.0394625383828924,0.842535129033957,NA,"ZNF732","654254"
"ENSG00000173404.5",0.165125197766646,-0.115606782050419,1.02844669725362,0.0394548439035844,0.842550280324236,NA,"INSM1","3642"
"ENSG00000134070.5",6.60515137382328,0.0165394166239463,0.080856840426594,0.0394157331996041,0.842627317426255,0.926044922987295,"IRAK2","3656"
"ENSG00000169885.10",2.32630263616476,0.0251831020818373,0.129038944434971,0.0394092195095084,0.842640151424815,0.926044922987295,"CALML6","163688"
"ENSG00000172264.17",11.8667471992925,0.0173903441206374,0.0876317699613634,0.0392827241346083,0.842889605641129,0.926248053301131,"MACROD2","140733"
"ENSG00000120820.12",0.157616389129688,-0.0969267042046996,0.728602506919751,0.0392481705429404,0.842957819342405,NA,"GLT8D2","83468"
"ENSG00000161940.11",0.0427708611126873,0.151754449515328,1.02908285411289,0.039095441731483,0.843259702164893,NA,"BCL6B","255877"
"ENSG00000258417.3",0.0711924094224898,0.158693204839033,1.02865827515266,0.039076278820005,0.843297622689619,NA,NA,NA
"ENSG00000152926.15",78.2478134031971,0.0126297578061258,0.0683507983998475,0.0390611534445497,0.843327560359696,0.926658279049128,"ZNF117","51351"
"ENSG00000168159.12",334.447724814912,-0.00964938999287136,0.0481036695972517,0.0390035934773323,0.843441543962902,0.92671248590865,"RNF187","149603"
"ENSG00000135899.17",34.8677503408616,-0.0094281212093375,0.0479289912180379,0.0389674422365829,0.843513177440229,0.926720156773837,"SP110","3431"
"ENSG00000186732.14",0.256756799352402,-0.0393003851477654,0.673091666129651,0.0388823276771575,0.843681967896705,NA,"MPPED1","758"
"ENSG00000226124.7",14.757025678667,-0.0108284466277538,0.0545957877785744,0.0388094233909726,0.843826696857964,0.92696437214536,"FTCDNL1","348751"
